header,body,is_shuffled,manual_label,manual_notes,H_relevance,L_relevance_1,L_relevance_notes_1
What is the cost of the loan?,"3. We charge a fixed amount of interest which we add to the loan when we open the loan account. The total amount payable by you is the sum of interest and the loan. Although it is added upfront, we work out interest (and the APR) as if the loan amount was reduced by each projected repayment, using the interest rate, the number of monthly repayments and the period of the loan. For these purposes, we assume we provide the loan one month (or, if you have an initial payment holiday, three months) before the first repayment date.",0,,,0,1,"N

The heading ""What is the cost of the loan?"" does not accurately introduce the nature of information contained in the body. The body text talks about charging a fixed amount of interest, which is related to the cost of the loan, but it doesn't directly answer the question asked in the heading. A more accurate heading would be something like ""How do we calculate interest on your loan?"" or ""What is our interest rate policy?"""
C1 Introduction,"Joint accounts are available with the account provided that at least one of the nominated account holders are named on the mortgage, investment or savings account. For joint Zero account applications linked to a savings account - at least one of the account holders must have a total savings balance of ¬£10,000 and this balance must have been held for at least the last three months.",1,,,1,1,"N

The heading ""C1 Introduction"" does not accurately introduce the nature of information contained in the body. The body text talks about joint accounts being available with the account, which is more related to product/service information rather than an introduction. An introduction would typically provide context, purpose, or scope of the document, but this heading does not do so."
How can you make a complaint?,"If we do not give the standard of service you expect, or if you think we have made a mistake, please let us know so we can investigate, put matters right and take steps to prevent it happening again. If you are not happy with the way that we deal with your complaint, you may be able to refer your complaint to the Financial Ombudsman Service by writing to Financial Ombudsman Service, Exchange Tower, London E14 9SR, calling 0800 023 4 567 or 0300 123 9 123 or sending an email to complaint.info@financial-ombudsman.org.uk.",0,,,0,1,"N

The heading ""How can you make a complaint?"" does not accurately introduce the nature of information contained in the body. The body text actually talks about what happens if the bank doesn't meet its standard of service, rather than providing instructions on how to make a complaint. A more accurate heading would be something like ""What happens if we don't meet our standards?"" or ""Our commitment to service""."
B1 Joint accounts,"9. There may be severe consequences if: (a) you do not make repayments on time; or (b) we find that any information you provided as part of your loan application was materially incorrect or misleading; or (c) you are declared bankrupt or have similar proceedings taken against you; or (d) we reasonably suspect any fraud or other criminal activity in connection with this agreement and/or any other facility or account that you have with us. In any of these cases, we can: * demand immediate repayment of the loan; * disclose information about you and the conduct of your loan to licensed credit reference agencies (which may make it more difficult for you to borrow in future); * restrict access to credit on other accounts you have with us (such as an overdraft or credit card); * bring legal action to recover the loan (which could include asking a court to order that, if a property you own is sold for any reason, some of the sale proceeds are used to repay this loan); and * require you to pay our reasonable costs and expenses for taking action to obtain payment, including legal costs; but we will give you advance notice and (unless the problem cannot be fixed) the opportunity to fix the problem before taking any of these steps. 10. If we choose not to enforce our rights under this agreement at any time, we may enforce them at a later date instead.",1,,,1,1,"N

The heading ""B1 Joint accounts"" does not accurately introduce the nature of information contained in the body. The body text talks about severe consequences if certain conditions are met, which is unrelated to joint accounts. The heading seems to be misplaced or incorrect. A more accurate heading would be something like ""Consequences of Certain Actions"" or ""Important Information About Account Management""."
D6 Funding requirements,"There is no monthly minimum funding requirement; however you must pay money into your account with your primary form of funding, for example any postgraduate loan, grants, parental contribution and/or income from any part time employment.",0,,,0,1,"N

The heading ""D6 Funding requirements"" suggests that the following text will discuss specific requirements related to funding, such as amounts or frequencies. However, the body text states ""There is no monthly minimum funding requirement..."" which does not provide any actual funding requirements, but rather a statement about the absence of a requirement. The heading does not accurately introduce the nature of the information contained in the body, which is a negative response."
D2 Eligibility,"To be eligible for the 1I2I3 Graduate Current Account: C2.1.1 You must be a UK resident and be 19 years of age or over C2.1.2 You must be able to provide proof of graduation (graduate certificate or confirmation from the university on letter headed paper) C2.1.3 You must also have successfully completed a course with a Higher Education Provider of the following type within the last three years i) your first undergraduate course ii) postgraduate course iii) Higher National Diploma (HND) iv) Nursing training course (with a course length of two or more years) v) Foundation degree (with a course length of two or more years) C2.1.4 From 10 July 2018, this account was removed from sale and is only available for 1I2I3 Student Current Account customers once they complete their studies. Customers will automatically transfer to the 1I2I3 Graduate Current Account at the end of their course.",0,,,0,1,"N

The heading ""D2 Eligibility"" does not accurately introduce the nature of information contained in the body. The body text appears to discuss eligibility criteria for a specific graduate program or account, whereas the heading suggests it might relate to general eligibility requirements. A more accurate heading would be something like ""1I2I3 Graduate Program Eligibility Criteria""."
D3 Use of your account,These conditions apply to any person who opened a 1I2I3 Graduate Current account with us who met the eligibility criteria as set out in C2 below. If there is any inconsistency between the General Conditions and these Specific Conditions the Specific Conditions will prevail.,1,,,1,1,"N

The heading ""D3 Use of your account"" does not accurately introduce the nature of information contained in the body. The body text appears to be discussing general terms and conditions that apply to anyone who opens an account, whereas the heading suggests it's specifically about how to use one's account. The two do not align."
A1 Introduction,"D3.1 Only one 1I2I3 Postgraduate Current Account can be open at any one time and it must be used as your main or primary current account. Your main form of funding, for example, any postgraduate loan, grants, parental contribution, and/or income from any part time employment must be paid into it. If you don't pay in your main form of funding, we reserve the right to reconsider our relationship with you. This may involve us not continuing to provide some (or all) of the services on your current account, for example, by us cancelling your 1I2I3 Postgraduate Arranged Overdraft allowance or closing your current account. We'll give you at least two months' notice of any change to the services on your current account or if we close it. If your circumstances change, or you think that they are likely to (for example you enter full-time employment or decide to take a gap year or year out) you must inform us as soon as possible.",1,,,1,1,"N

The heading ""A1 Introduction"" does not accurately introduce the nature of information contained in the body. The body appears to contain specific details about a type of account (Postgraduate Current Account), whereas an introduction would typically provide general background or context rather than specific information."
Can you repay the loan early?,"7. You can repay all, or part, of the loan early by giving us notice in writing or by telephone. If you give us notice, we will tell you the amount needed to repay the loan in full within the next 28 days (or on a later date you tell us). 8. If you repay part of the loan early, your monthly repayment will stay the same but you may repay the loan more quickly. If you repay the loan in full, the formula in the regulations we use to work out the reduced amount of interest we can charge, works as if we charged interest at the rate that applies to the loan from the date we gave you the loan to the date which is 28 days after you give us notice, plus an additional month if your loan is repayable over a period of more than 12 months. For example, if the loan is for 36 months and you give us notice on 1 September that you want to repay the loan on 14 September, the amount required to repay the loan will include interest up to 29 October.",0,,,0,1,"No, the heading does not accurately introduce the nature of information contained in the body.

The heading ""Can you repay the loan early?"" suggests that the answer will be about whether it is possible to repay the loan before its scheduled end date. However, the body text ""7. You can repay all, or part, of the loan early..."" actually provides information about how to repay the loan, rather than simply answering the question posed by the heading. The heading implies a yes/no answer, whereas the body text provides more detailed information."
B2 Paying money into your account,It is a condition of your account that you maintain regular payments into your account. The minimum regular payment is the amount we notified you of when you applied for your account.,0,,,0,1,"N

The heading ""B2 Paying money into your account"" does not accurately introduce the nature of information contained in the body. The body text talks about a condition of the account, which is unrelated to paying money into the account. The heading suggests that the content will be about depositing funds, but instead it discusses a contractual obligation."
What are our rights if you miss a repayment or we have other concerns?,These conditions apply to any person who opened a Zero Current Account with us who met the eligibility criteria as set out in A2 below. If there is any inconsistency between the General Conditions and these Specific Conditions the Specific Conditions will prevail.,1,,,1,1,"N

The heading ""What are our rights if you miss a repayment or..."" suggests that the body will discuss the consequences or actions taken by the bank when a customer misses a repayment. However, the body text actually talks about ""any person who opens"" something, which is unrelated to missing repayments. The heading does not accurately introduce the nature of information contained in the body."
A4 Use of your account,A4.1 Your account must be used as your Primary Current Account. A4.2 You must pay money into your account with a minimum sum each month - please see A.2.1.4 above for details.,0,,,0,0,"Y

The heading ""A4 Use of your account"" accurately introduces the nature of information contained in the body, which is about how the account should be used (specifically, that it must be used as the primary account). The heading clearly indicates what topic will be covered in the subsequent text, making it easy for the reader to anticipate and understand the content."
What happens if someone dies,"9.1 If you die, your Customer Agreement will continue until either we or your personal representative end it. We'll ask for evidence confirming your death and the legal appointment of your personal representative. 9.2 Sometimes a personal representative might want to give us an instruction before we have evidence that they have been legally appointed. If this happens, we'll decide whether we should act on their instruction. We might ask for evidence that they are the right person to take instructions from, and that your estate is not insolvent (for example, that all your creditors have been paid, or will be paid out of your estate). We might also check with your beneficiaries that they don't object to us acting on your personal representative's instructions. 9.3 We'll accept an instruction from a personal representative to pay inheritance tax using money in your account, even if we don't have evidence that they have been legally appointed. 9.4 Some estates are small enough that the personal representative doesn't have to be appointed legally to act for the estate. If this is the case, we can decide to pay the balance in your account(s) on the instructions of your personal representative. We'll ask them to sign an agreement that they'll reimburse us if we incur any loss as a result of letting them take the money out of your account(s). 9.5 Unless the law prevents us, we'll close all your accounts that are still open within two years of the date of your death. We can claim against your estate or your personal representative for our reasonable costs in closing your account(s).",0,,,0,1,"N

The heading ""What happens if someone dies"" does not accurately introduce the nature of information contained in the body. The body text actually discusses what happens to the Customer Agreement when someone dies, rather than providing information about what happens if someone dies. A more accurate heading would be something like ""What Happens to My Customer Agreement When I Pass Away""."
6. If something goes wrong,"6.1 The section in the Customer Agreement titled 'If something goes wrong' explains the situations in which we will refund you, and explains what we will refund. In situations where we refund you, you won't have any further claim against us or any other member of the Barclays Group.",0,,,0,1,"N

The heading ""6. If something goes wrong"" does not accurately introduce the nature of information contained in the body. The body text appears to be discussing the location of a specific section in the Customer Agreement, which is not related to what one would typically expect from a heading that says ""If something goes wrong"". A more accurate heading might be ""Location of Dispute Resolution Information"" or something similar."
General Terms and Conditions,"1. Club Lloyds Lifestyle Benefits are only available to Club Lloyds account holders, who are resident in the UK and aged 18 or over. 2. On opening a Club Lloyds account with Lloyds Bank, you will be invited to select one benefit choice per account year. 3. You can select one of the following Lifestyle Benefits: 6 cinema tickets, a 12-month Magazine Subscription, a 12-month Gourmet Society Digital Membership or 12 Rakuten TV movie rental codes. 4. Once you have opened a qualifying Club Lloyds account you will receive a welcome email or letter providing details of any actions you need to take. The Administrator will contact you by email if you provided an email address when you opened your Club Lloyds account. If you did not provide an email address, the Administrator will contact you by post. You should check your junk folder for any email communications. 5. To receive the benefit in full for the first year, you have 30 days from opening your Club Lloyds account to make your Lifestyle Benefit selection and you may change your selection within the 30-day period. Once the 30-day period has expired you will not be able to change your Lifestyle Benefit selection other than as set out in condition 14. If you make your Lifestyle Benefit selection after the initial 30-day period, then it will be fulfilled on a pro-rata basis. For example, if you make your Lifestyle Benefit selection 6 months after the end of the 30-day selection period, the Lifestyle Benefit will only be valid for the remaining 6 months of the benefit year. Thereafter you will not be able to change your Lifestyle Benefit selection other than as set out in condition 14. 6. If selecting a 12-month Magazine Subscription as a Lifestyle Benefit you will need to confirm the publication title by visiting http://www.clublloyds.com or calling 0345 3030303 (+441733 462224 if calling from abroad). 7. If you choose a 12-month Gourmet Society digital membership, a 12-month digital Magazine Subscription or 12 Rakuten TV movie rental codes, you must provide a valid email address. 8. The Lifestyle Benefit for digital magazines is available to download on Apple and Android devices. 9. Apple is a registered trademark of Apple Inc., registered in the U.S. and other countries. Android is a trademark of Google Inc. 10. After the 30-day period, Lifestyle Benefits will start to be dispatched. Timings vary depending on the Lifestyle Benefit selected. 11. Postal delivery of Lifestyle Benefits will be delivered to UK street addresses only (i.e. no PO Box addresses). 12. Neither the Administrator nor any Supplier accepts responsibility for delays by the postal services, for incorrect details being provided by the account holder or for any other unforeseen circumstances that may delay delivery. 13. One Lifestyle Benefit per account is available for each 12 months that you have a Club Lloyds account and if leaving Club Lloyds, the benefit may be cancelled at the sole discretion of Lloyds Bank. 14. After the initial 12-month period you will be able to select a new or the same Lifestyle Benefit for the following 12-month period. 30 days before the expiry of any 12-month period you will be sent an email or letter asking you to choose your benefit for the following benefit year. Your final choice must be communicated to the Administrator within 30 days of the expiry of that benefit year or you will be deemed to have chosen the same benefit for the following benefit year. 15. Any Lifestyle Benefit will only be delivered to the email or postal address originally provided to Lloyds Bank when selecting to join Club Lloyds, unless amended or changed by you through Lloyds Bank. 16. Any Lifestyle Benefit that is lost in transit and not delivered to you will only be re-issued twice and only within the same benefit year it was originally issued in. 17. In addition to these general terms and conditions and the terms specified under the section for each Lifestyle Benefit and/or Supplier below, the Lifestyle Benefits are subject to the general terms and conditions of business of the relevant Supplier which can be read (and may be updated from time to time) online at: Vue: http://www.myvue.com/legal Odeon: https://www.odeon.co.uk/privacy-and-legal/ Gourmet Society: https://www.gourmetsociety.co.uk/terms_and_conditions.php Hearst Magazines: http://www.hearstmagazines.co.uk/TermsandConditions.aspx Rakuten: https://www.rakuten.tv/uk/terms_conditions/2366 Any disputes arising other than in connection with these Lifestyle Benefits terms and conditions should be raised with the relevant Supplier. 18. The Administrator shall have no liability for the acts or omissions of any Lifestyle Benefit Supplier other than any refusal by such Supplier to provide a Lifestyle Benefit in accordance with the terms and conditions applicable to it. 19. The Lifestyle Benefits are for personal and non-commercial use and cannot be sold, made available or otherwise transferred to any third party for commercial gain. 20. The description and terms and conditions of Lifestyle Benefits are provided by the relevant Suppliers. 21. There is a maximum of one Lifestyle Benefit per account per year. Joint account holders who choose Gourmet Society Membership will receive their own digital membership number. 22. Lifestyle Benefits sent via post will be sent by Royal Mail 2nd class post. 23. Any questions or complaints should be addressed to Club Lloyds Lifestyle Benefits, PO Box 1586, Westside, London Road, Hemel Hempstead, HP1 9SF or by calling 0345 3030303 or by emailing enquiries@clublloyds.com. 24. Calls may be recorded for monitoring or training purposes. Lines are open seven days a week, 8am to 8pm Monday to Saturday and 9am to 6pm on Sundays. 25. The Administrator does not accept responsibility for registrations lost, corrupted or delayed as a result of any network, computer hardware or software failure of any kind. 26. The Administrator reserves the right to amend or withdraw the Lifestyle Benefits if deemed necessary due to circumstances outside of its control. 27. The Administrator shall not be liable for any failure to comply with its obligations where the failure is caused by something outside its reasonable control or any other circumstances amounting to force majeure. 28. There is no cash or other alternative to the stated Lifestyle Benefits, in whole or in part. Unless otherwise agreed in writing by Lloyds Bank, the Lifestyle Benefits will only be sent directly to the account holder(s). The Promoter reserves the right to change or provide a similar alternative Lifestyle Benefit of the same or greater value or specification should circumstances beyond their control make this necessary. Lifestyle Benefits cannot be exchanged in any Lloyds Bank branches. 29. The law of England and Wales shall apply to the Club Lloyds Lifestyle Benefits and disputes relating to it shall be decided in the Courts of England and Wales. 30. Your personal details will be retained solely for the purpose of operating the Lifestyle Benefits and as further specified in the relevant Supplier's terms and conditions below. Data collected and held by the Administrator and the Suppliers is done so in accordance with applicable data protection law. The Administrator and the Suppliers will comply with applicable data protection law. For full details of our Privacy Notice please visit www.lloydsbank.com/privacy 31. These Lifestyle Benefits are administered by Hawk Incentives Limited, PO Box 1586, Westside, London Road, Hemel Hempstead, HP1 9SF. Company Registration Number 04155659.",0,,,0,1,"N

The heading ""General Terms and Conditions"" does not accurately introduce the nature of information contained in the body. The body text appears to be describing specific benefits offered by the Club Lloyds program, which is not typically considered a term or condition. A more accurate heading might be something like ""Club Lloyds Lifestyle Benefits"" or ""Program Details""."
Vue Specific Cinema Terms and Conditions,"The following venue related terms & conditions will apply to Vue Cinema Ticket Vouchers: 1. Each cinema ticket voucher can be exchanged for a 2D or 3D admission ticket to any Vue Cinema in the UK only (excluding Gold Class, Premiere seating, Special, Alternative, Event Cinema screenings, Over 18's Screenings and Scene Westfield). Tickets can be upgraded to a VIP or Xtreme ticket at no extra charge. For 3D screenings 3D glasses are provided at no extra charge subject to availability. 2. Each cinema ticket voucher is also valid as part payment for Scene, Gold and IMAX. Upgrades to Scene, Gold and IMAX are available on payment of the difference in cost between Standard adult price for the upgraded experience and standard Adult 2D admission (not VIP seating). 3. Each popcorn voucher can be exchanged at the Box Office only and is valid for one half-price popcorn of any size, any day subject to availability. Valid for a single use only and must be redeemed in conjunction with a valid cinema booking. 4. Each cinema ticket voucher must be used at the time of exchange for any one regularly scheduled film performance subject to availability. Valid for a single use only and cannot be re-instated or replaced once redeemed (this includes if you cancel your booking) 5. Each cinema ticket voucher can be used to book a cinema ticket online at www.myvue.com, or can be exchanged at the box office of any Vue cinema. This ticket voucher cannot be used to reserve an admission ticket by telephone. 6. Each cinema ticket voucher may not be combined with any other ticket offer. It may not be used for premieres or special events. 7. Each cinema ticket voucher cannot be used for Event Cinema screenings, including: NT Live, ROH Live, RSC, Met Opera, Bolshoi, Theatre, Special Events and Bollywood. 8. Each cinema ticket voucher and popcorn voucher is for personal use and may not be exchanged for use at a later date nor may they be exchanged for cash or merchandise or otherwise transferred to any third party for commercial gain. Not for resale. 9. Each cinema ticket voucher expires on the expiration date given and is not subject to extensions. 10. Film classification rules apply. ID may be required. The Cinema Manager's decision is final. 11. Please note that due to Vue's advance booking policy the film and performance you wish to attend may be sold out and seats might not be available. The holder is not entitled to any preferential right over other cinema patrons. 12. For any lost or stolen ticket vouchers, please contact the Club Lloyds helpdesk on 0345 303 0303 (+441733 462224 if calling from abroad). Any lost or stolen cinema vouchers will only be re-issued twice. 13. Vue reserves the right to amend these terms and conditions at any time and without notice. Such changes will be posted on www.myvue.com. Alternatively, you can obtain a copy of the latest terms by calling Vue Guest Services on 0345 308 4620 (local rates apply) or by emailing customerservices@vuemail.com. 14. These terms and conditions and any related disputes are subject to interpretation under the laws of England and Wales, and to the jurisdiction of the courts of England and Wales.",0,,,0,1,"N

The heading ""Vue Specific Cinema Terms and Conditions"" does not accurately introduce the nature of information contained in the body. The body text talks about ""venue related terms & conditions"", which suggests it's about general terms and conditions for a physical location or event, whereas the heading specifically mentions ""Vue Specific Cinema"", implying that it's about a specific cinema chain (Vue) and its terms and conditions."
If you owe us money,"6.2 The Customer Agreement explains that if you owe us money under an agreement with us and you haven't paid it back when you should have done, we can use money in any of your accounts with us to pay off some or all of the money you owe us. This includes money owed to other companies within the Barclays Group of companies. This is called 'set-off '. 6.3 We also explain in the Customer Agreement that if you have told us that money you hold in an account in your name belongs to someone else, we won't use our right of set-off to take any of that money. The exception to this is where money is owed to us on an account held for that person's benefit.",0,,,0,1,"N

The heading ""If you owe us money"" does not accurately introduce the nature of information contained in the body. The body text actually discusses the Customer Agreement and its explanation of owing money, but it doesn't provide any specific information about owing money. A more accurate heading would be something like ""Understanding Your Obligations Under the Customer Agreement""."
ODEON Specific Cinema Terms and Conditions,"The following venue related terms & conditions will apply to ODEON vouchers codes: 1. Each cinema ticket voucher may be exchanged for one ticket with a standard, Premier or recliner seat to view a standard 2D, 3D or iSense film showing at any ODEON cinema in the UK except the following cinemas: ODEON Luxe & Dine and BFI IMAX. At ODEON Luxe Leicester Square the voucher code can be used in screens 2-5 but not in the Dolby Cinema. Upgrades are payable for other film formats and seat types (see below). 2. Each cinema ticket can be exchanged for one ticket for ODEON Kids screenings. For each ticket redeemed to an ODEON Kids screening, you are entitled to a free small popcorn. If redeeming your ODEON ticket voucher at the cinema, you will need to ask at the retail counter to redeem your free popcorn. Or, if you have booked your ODEON tickets online, you will receive a QR code from ODEON. Show the QR code to the host serving you at the retail counter. 3. Each cinema ticket voucher includes one pair of 3D glasses in cinema per ticket voucher when used on a 3D film. 4. Each cinema ticket voucher is valid on screenings up to and including the expiry date only. Cinema ticket vouchers are valid for 12 months from the date of issue. 5. Each cinema ticket voucher is valid for standard seats, Premier seats, and recliners in Luxe cinemas and ODEON Bournemouth, ODEON Hatfield and ODEON Taunton. 6. Each cinema ticket voucher is not valid for IMAX, Dolby, Club seats, D-Box seats, VIP seats, or any other premium priced seating not specifically set out in these terms, unless you pay an upgrade fee. The upgrade fees vary per cinema. 7. Each cinema ticket voucher is not valid on Gallery, ODEON Luxe & Dine, ODEON Event Cinema, ODEON Silver Cinema, ODEON Newbies or ODEON Screen Unseen. 8. Each cinema ticket voucher is not valid on premieres, special events or screenings or events not open to the public. 9. Online Redemption: To use your ODEON ticket voucher to book your ODEON ticket online and on the ODEON app, simply enter the ticket voucher code in the 'ODEON Promo Code Box' which appears on the payment page. Online booking fees do not apply if you redeem your ticket voucher online, but will apply for any additional full price tickets in the transaction. 10. Box Office Redemption: To use your ODEON ticket voucher to purchase your ODEON ticket at the cinema, present your printed email or letter containing your ticket voucher at the box office or retail counter. 11. Each cinema ticket voucher cannot be redeemed at ticket machines, but tickets can be collected at ticket machines if the ticket is booked online. 12. Each cinema ticket voucher is not valid in conjunction with any other offer or discount. 13. Each cinema ticket voucher is for your personal use only. 14. Each cinema ticket voucher cannot be used to buy gift vouchers, gift cards, food, drink or any other ODEON goods or services. 15. Tickets are subject to availability, normal age restrictions and other relevant standard terms including ODEON's general admission terms. ID may be required. 16. For any lost or stolen ticket vouchers, please contact the Club Lloyds helpdesk on 0345 303 0303 (+441733 462224 if calling from abroad). Any lost or stolen Vouchers Codes will only be re-issued twice. 17. Issuer: ODEON Cinemas Limited, 8th Floor, 1 Stephen Street, London W1T 1AT",0,,,0,1,"N

The heading ""ODEON Specific Cinema Terms and Conditions"" does not accurately introduce the nature of information contained in the body. The body text talks about ""venue-related terms & conditions"", which suggests it's about general terms and conditions for a venue, whereas the heading specifically mentions ODEON cinema, implying that it's about terms and conditions specific to ODEON cinemas."
A3 Number of accounts,Customers are limited to a maximum of two Zero Current Accounts per person; this includes both single and joint account types.,0,,,0,1,"N

The heading ""A3 Number of accounts"" does not accurately introduce the nature of information contained in the body. The body appears to be discussing the limit on the number of zero-balance accounts for customers, whereas the heading suggests it's about the number of accounts in general."
Right to withdraw,"You can withdraw from this agreement (without giving any reason) by sending written notice or calling us within 14 days, starting the day after we confirm that we have signed the agreement. To tell us that you want to withdraw, please use the details under Important Information below. You must repay the loan, without delay, within 30 days, starting the day after you tell us that you want to withdraw, together with interest for each day until you repay. We won’t charge any interest if you repay the loan in full within 14 days starting the day we provide the loan. You can repay by calling us or by visiting one of our branches. If the loan is to repay any other borrowing from us, withdrawing from this agreement will not reinstate your existing agreements. These will end when we sign this agreement and apply this loan to repay everything you owe under those agreements.",0,,,0,1,"N

The heading ""Right to withdraw"" does not accurately introduce the nature of information contained in the body. The body text talks about being able to withdraw from an agreement without penalty or cost, which is a specific condition related to the agreement. The heading only mentions ""right to withdraw"", which could imply many different things, such as withdrawing money from an account or canceling a service. It doesn't give any indication that it's specifically referring to terminating an agreement. A more accurate heading would be something like ""Termination of Agreement"" or ""Withdrawal from Contract""."
C7 Maintaining the account,There is no monthly fee for maintaining the account,0,1,"better title would be ""fees for maintaining aaccount"" as the title implies more than just money",1,1,"N

The heading ""C7 Maintaining the account"" does not accurately introduce the nature of information contained in the body. The body text talks about there being no monthly fee for maintaining the account, which seems unrelated to the topic of ""maintaining the account"". A more accurate heading would be something like ""C7 No Monthly Fee"" or ""C7 Account Maintenance Fees""."
